EpSubNum	EpSocSecNum	EpFname	EpMInit	EpLName	EpAdd1	EpAdd2	EpCity	EpState	EpZip	EpHomePhone	JbHireDate	EpGender	EpDateOfBirth	JbEmpNum	JbEmpCode	JbStatCode	JbTermDate	JbTermReason	JbHourPay	JbBudgetedHrs	JbClassification
2	374-00-0934	BERNITA	F	TROMBA	407 FONDUE		VASSAR	MI	48768	(989)555-3435	3/8/1989	2	10/12/1962	15	C	ACTIVE	00/00/0000		23.35	80	115
2	383-00-5102	CAROL		MEEKS	04 BLEND		BAY CTIY	MI	48708	(989)555-5977	10/13/1997	2	5/8/1961	25	F	ACTIVE	00/00/0000		20.74	0	115
2	380-00-3382	CATHY		SYLVESTER	520 WALDON ROAD		ESSEXVILLE	MI	48732	(989)555-5287	3/27/2001	2	8/30/1978	29	F	ACTIVE	00/00/0000		12	80	307
2	378-00-0275	ROBERT		DINSMORE	21-D MILLBROOK DR		BAY CITY	MI	48706	(989)555-9659	11/11/2002	1	9/4/1958	34	F	ACTIVE	00/00/0000		21.66	80	109
2	380-00-1631	ROI	S	LAWRENCE	2059 JUNIPER WAY		BAY CITY	MI	48708	(989)555-7732	6/14/1999	2	11/21/1955	37	C	ACTIVE	00/00/0000		28.797	80	309
2	374-00-2917	SANDRA		LAPAGE	036 N MEADOW LANE		STERLING	MI	48659	(989)555-8834	11/11/2002	2	2/4/1956	105	F	TERMINATED	3/30/2001	R	9	80	309
2	362-00-1140	JEFFREY	L	JEFFERS	302 CHARTER OAKS DRIVE		BAY CITY	MI	48708	(989)555-5459	3/6/2000	1	10/26/1951	335	F	ACTIVE	00/00/0000		22.48	64	309
2	377-00-9767	PAMELA	L	DINSMORE	0104 MORRIS RD		BAY CITY	MI	48708	(989)555-2289	8/9/1995	2	7/7/1958	437	P	TERMINATED	3/10/2000	R	36.95	0	309
2	366-00-7717	JENIFER		HUGHES	44 HICKORYWOOD		BAY CITY	MI	48708	(989)555-4825	2/4/2002	2	5/8/1971	467	C	TERMINATED	3/6/1998	R	27.71	80	115
2	305-00-1565	ROSEMARY	G	DEROSIA	164 ROLLING MEADOW		PINCONNING	MI	48650	(989)555-6482	8/2/1993	2	6/6/1967	472	F	TERMINATED	10/31/1998	R	21.45	80	304
2	372-00-0549	MALIK		FURLO	073 WINSTON DR		ESSEXVILLE	MI	48732	(989)555-0891	10/23/2000	1	6/5/1976	475	C	ACTIVE	00/00/0000		29.75	0	304
2	362-00-8293	MICHELE	M	CRAWFORD	010 BEACH ST		MIDLAND	MI	48640	(989)555-9003	10/7/1998	2	6/18/1955	476	F	ACTIVE	00/00/0000		29.21	0	115
2	384-00-9288	DENISE	N	EDSALL	281 S VASSAR		ESSEXVILLE	MI	48732	(989)555-0294	1/1/2000	2	6/19/1964	481	P	TERMINATED	6/30/2000	F	35.36	80	307
2	383-00-3678	DENNIS		BERRY	073 E. WILLIAMSON		BAY CITY	MI	48708	(989)555-4509	7/23/2001	1	11/5/1969	494	F	ACTIVE	00/00/0000		23.54	0	109
2	364-00-3976	TRACY	L	BEECHUM	176 BATES ROAD		BAY CITY	MI	48706	(989)555-3994	3/25/2002	2	12/7/1948	504	F	TERMINATED	6/30/2003	R	29.45	0	309
2	375-00-7745	KEVIN	L	SCHREMS	723 SLOAN STREET		ESSEXVILLE	MI	48732	(989)555-0437	5/22/1995	1	11/27/1954	522	P	ACTIVE	00/00/0000		21.54	0	309
2	366-00-4078	JENNIFER	L	NASH	808 WINDRUSH PASS		PINCONNING	MI	48650	(989)555-0147	7/22/1998	2	5/1/1975	523	F	ACTIVE	00/00/0000		35	0	115
2	383-00-8081	RONALD	A	LEMAY	022 MARJA STREET		BAY CITY	MI	48706	(989)555-2585	9/25/2000	1	11/23/1967	525	F	TERMINATED	10/12/2001	R	10.18	80	309
2	379-00-6344	AMIR		FLORA	070 CARPENTER ROAD		BAY CITY	MI	48706	(989)555-4629	1/7/1985	1	4/7/1965	603	P	ACTIVE	00/00/0000		22.65	0	309
2	385-00-8381	KATHY	F	CONNELLY	968 CRESTWOOD DRIVE		ESSEXVILLE	MI	48732	(989)555-8373	8/25/2003	2	12/22/1970	606	F	ACTIVE	00/00/0000		27.295	80	115
2	366-00-0951	DARYL		GROSS	324 FOREST RIDGE		LINWOOD	MI	48634	(989)555-9621	10/8/2001	1	11/27/1967	633	C	ACTIVE	00/00/0000		9.31	80	309
2	382-00-2399	ADRIAN	J	HENNRICK	411 SQUIRE LANE		STANDISH	MI	48658	(989)555-5059	6/6/1977	1	11/16/1975	644	F	ACTIVE	00/00/0000		17.51	48	309
2	373-00-6796	PAULA	R	MITCHELL	013 LAWNDALE AVE		ESSEXVILLE	MI	48732	(989)555-6402	8/19/1996	2	5/11/1967	654	F	ACTIVE	00/00/0000		21.55	80	115
2	374-00-6697	CHRISTOPHER	S	FUCHS	248 BRONSON LAKE RD		BAY CITY	MI	48706	(989)555-5840	7/10/2003	1	7/22/1964	655	F	TERMINATED	5/28/1999	R	21.56	80	115
2	378-00-5680	ELAINE		RANKINE	808 WINDRUSH PASS		FRANKENMUTH	MI	48734	(989)555-7643	12/2/1992	2	2/20/1943	656	F	ACTIVE	00/00/0000		19.1	80	307
2	365-00-1702	KRISTEN		KATZER	313 LAVELLE ROAD		BAY CITY	MI	48708	(989)555-9643	1/10/1994	2	6/5/1974	667	F	ACTIVE	00/00/0000		16.45	80	109
2	369-00-6189	AIMEE	P	CHAPMAN	379 N LINDEN ROAD		REESE	MI	48757	(989)555-9585	6/18/1973	2	8/17/1951	753	F	ACTIVE	00/00/0000		23.21	50	309
2	375-00-9342	LINDA		NAGEL	127 WOODLAND DR		CARO	MI	48723	(989)555-1884	3/11/1974	2	11/14/1977	803	C	ACTIVE	00/00/0000		13.43	48	309
2	367-00-7136	DARLENE		HATFIELD	28 E VAN WAGONER		BAY CITY	MI	48706	(989)555-2233	7/1/2001	2	9/1/1956	804	F	ACTIVE	00/00/0000		8.95	50	115
2	364-00-9290	MICHELLE	M	JENKINS	064 N SAGINAW ST		BAY CITY	MI	48708	(989)555-4946	8/1/1983	2	3/13/1950	805	F	ACTIVE	00/00/0000		24.93	64	309
2	505-00-8436	PAMELA		PADILLA	180 CHATWELL CLUB DRIVE		KAWKAWLIN	MI	48631	(989)555-8312	1/8/1996	2	2/4/1971	806	C	ACTIVE	00/00/0000		14.13	80	309
2	367-00-5695	GEORGE		VANGELDEREN	3061 N LINDEN		BAY CITY	MI	48708	(989)555-1288	6/10/1996	1	7/16/1948	807	P	ACTIVE	00/00/0000		50.2	0	309
2	385-00-0559	KELLY		LAMBERT	30 COUTANT ST		PINCONNING	MI	48650	(989)555-6867	11/14/1994	2	12/14/1951	808	F	ACTIVE	00/00/0000		16.13	60	309
2	333-00-7378	GEORGINA	J	MCCARTY	1580 E. LENNON RD		BAD AXE	MI	48413	(989)555-4680	1/10/2000	2	3/22/1964	809	P	ACTIVE	00/00/0000		29.27	0	115
2	378-00-7910	CAROL	W	STUDLEY	509 RASKOB		BAY CITY	MI	48708	(989)555-4616	5/1/2003	2	5/27/1948	810	F	ACTIVE	00/00/0000		32	0	309
2	376-00-8577	LANA		FOSTER	905 WOODSLEA DRIVE		MIDLAND	MI	48642	(989)555-5119	11/12/2001	2	9/6/1959	811	P	ACTIVE	00/00/0000		23.96	80	309
2	381-00-8728	MINAL		CARPER	088 E POTTER ROAD		BAY CITY	MI	48706	(989)555-2593	11/14/1988	2	6/20/1949	812	P	ACTIVE	00/00/0000		25.75	80	309
2	456-00-2232	KRISTEN	S	KAIDAN	334 AMY STREET		SAGINAW	MI	48603	(989)555-1806	8/19/2002	2	8/10/1969	813	F	ACTIVE	00/00/0000		13.84	80	309
2	374-00-0639	AMY		ANDRESS	510 MARMION AVE		SEBEWAING	MI	48759	(989)555-5243	6/3/2002	2	9/4/1953	814	F	TERMINATED	10/29/2002	R	20.32	0	115
2	376-00-6431	CARMEN	C	SUCHODOLSKI	76 PHEASANT CT		ESSEXVILLE	MI	48732	(989)555-5118	7/19/1968	2	10/27/1945	815	F	ACTIVE	00/00/0000		50	0	309
2	381-00-2405	CHRISTINA	L	ALLEN	509 FLEMING ROAD		BAY CITY	MI	48706	(989)555-1496	7/23/2003	2	10/18/1937	816	F	ACTIVE	00/00/0000		20.92	0	115
2	378-00-7831	CRYSTAL		WEBER	123 STONEGATE DRIVE		MIDLAND	MI	48640	(989)555-2227	6/22/1998	2	11/13/1957	817	F	ACTIVE	00/00/0000		25.316	80	115
2	365-00-9446	JEFFREY	C	BOOMS	145 MAGNOLIA DRIVE		PINCONNING	MI	48650	(989)555-2707	3/15/1999	1	4/30/1958	818	P	TERMINATED	1/3/2003	F	15.87	0	307
2	302-00-0014	JOSEPH	E	BERG	516 THOMAS STREET		ESSEXVILLE	MI	48732	(989)555-8750	6/25/2001	1	9/17/1942	819	F	ACTIVE	00/00/0000		26.14	0	109
2	377-00-4809	KAREN		NEWTON	609 BEACON TREE LANE		RHODES	MI	48652	(989)555-5113	2/28/2002	2	7/14/1956	1000	P	TERMINATED	8/5/2002	R	29.148	80	309
2	364-00-5675	LATASHA		BANASZAK	319 BARTH ST		PINCONNING	MI	48650	(989)555-5646	7/11/1997	2	2/2/1974	1010	F	ACTIVE	00/00/0000		7	0	309
2	522-00-2270	MARC		LEDESMA	223 O'TOOLE LANE		LINWOOD	MI	48634	(989)555-3639	4/29/2003	1	11/30/1956	1250	P	ACTIVE	00/00/0000		16.379	80	115
2	368-00-5368	MARGARET		ROOKUS	418 FOX LANE		SAGINAW	MI	48603	(989)555-2281	8/27/2001	2	8/14/1964	1251	F	TERMINATED	3/2/2003	R	10	80	309
2	370-00-8207	PAMELA	M	MCQUILLAN	175 N. SEYMOUR RD		BAY CITY	MI	48708	(989)555-2012	11/19/2001	2	11/26/1948	1252	P	TERMINATED	11/12/2002	R	20.76	0	309
2	381-00-2399	SHARON	A	DECATUR	455 N IRISH ROAD		FAIRGROVE	MI	48733	(989)555-4640	5/4/1991	2	10/14/1958	1385	F	ACTIVE	00/00/0000		15	0	309
2	367-00-1101	SYLVESTER		PERLBERG	0113 FIELDWAY TRAIL		BAY CITY	MI	48708	(989)555-8730	8/4/2003	1	8/3/1968	1391	C	ACTIVE	00/00/0000		8.46	0	309
2	244-00-0347	YVONNE		COCKE	10 E BISHOP		CARO	MI	48723	(989)555-2455	6/23/2003	2	1/22/1977	1423	C	ACTIVE	00/00/0000		8.4	0	115
2	379-00-6215	ZELDA	A	HILL	070 FOUNTAIN POINTE		STANDISH	MI	48658	(989)555-7093	5/11/1998	2	2/17/1960	1432	F	ACTIVE	00/00/0000		8.97	80	304
2	382-00-5377	DOROTHY		GEAN	200 WEST COOK ROAD		SANDUSKY	MI	48471	(989)555-6762	7/10/1995	2	11/13/1980	1443	C	ACTIVE	00/00/0000		7	0	304
2	374-00-2335	GAIL		PALMER	200 W COOK ROAD		MIDLAND	MI	48642	(989)555-5434	9/5/2000	2	5/24/1952	1460	F	ACTIVE	00/00/0000		36	0	115
2	368-00-5459	DEBORAH		GILGINAS	177 GEORGETOWN		ESSEXVILLE	MI	48732	(989)555-5453	2/24/2003	2	11/14/1968	1485	C	ACTIVE	00/00/0000		20.5	64	307
2	370-00-5804	SALLY		FRANK	491 SUGARBUSH LANE		BAY CITY	MI	48706	(989)555-6236	11/1/1994	2	8/31/1968	1546	C	ACTIVE	00/00/0000		35	0	109
2	374-00-2481	ANTHONY	L	SUTTON	0100 SUZZANE		SEBAWING	MI	48759	(989)555-8652	3/8/1993	1	7/24/1956	1566	P	ACTIVE	00/00/0000		7.91	0	309
2	384-00-0959	BERTHA	L	GEIGER	391 W COOK RD		BAY CITY	MI	48706	(989)555-5308	1/10/1993	2	10/7/1954	1579	F	ACTIVE	00/00/0000		7.38	0	309
2	375-00-8186	MARY		VOGEL	470 WELLINGTON DR		ESSEXVILLE	MI	48732	(989)555-8826	8/4/2003	2	8/4/1961	1596	F	ACTIVE	00/00/0000		15.27	0	115
2	366-00-0728	TINA		WILTSE	370 ELLIS PARK DRIVE		BAY CITY	MI	48706	(989)555-2560	8/4/2003	2	7/19/1971	1631	P	TERMINATED	6/4/1999	R	16.81	48	307
2	378-00-5112	KAYDEON		HAWKINS	1063 W ALLEN RD		BAY CITY	MI	48708	(989)555-3863	8/6/2001	2	9/24/1982	1642	F	ACTIVE	00/00/0000		16.32	0	109
2	364-00-7076	KIMBER		WOHLSCHEID	749 BROOKS RD		ESSEXVILLE	MI	48732	(989)555-6287	8/5/2002	2	8/18/1985	1664	C	ACTIVE	00/00/0000		10.79	80	309
2	366-00-5070	VICTOR		MACIAG	477 SEBASTIAN DR		BAY CITY	MI	48708	(989)555-6410	5/9/1997	1	9/1/1956	1671	F	ACTIVE	00/00/0000		30.9	0	304
2	378-00-8278	ANDREW		ISBELL	287 HIDDEN CREEK DR		BAY CITY	MI	48708	(989)555-4423	1/13/1992	1	2/4/1971	1672	F	TERMINATED	6/30/2003	R	7.98	80	304
2	367-00-9519	TOMI	L	SHARRARD	509 SHERWOOD DRIVE		BAY CITY	MI	48706	(989)555-2814	6/4/2001	2	2/27/1957	1677	F	ACTIVE	00/00/0000		7.65	80	115
2	368-00-6894	MARILYN		HILL	316 POTTER ROAD		ESSEXVILLE	MI	48732	(989)555-3342	5/21/1997	2	9/18/1961	1680	C	ACTIVE	00/00/0000		15.35	80	307
2	367-00-7321	MICHELLE		ILER	791 E WILKINSON RD		BAY CITY	MI	48706	(989)555-6193	8/13/1973	2	10/18/1965	1701	F	ACTIVE	00/00/0000		7.21	0	109
2	372-00-3397	MARIA	M	CASTANIER	015 HIGHWOOD		FAIRGROVE	MI	48733	(989)555-3674	8/25/2003	2	2/4/1979	1702	F	TERMINATED	3/6/1999	R	8.73	80	309
2	372-00-0141	ANN	L	STEFF	2149 INDIAN OAK DRIVE		MUNGER	MI	48747	(989)555-7846	9/3/1996	2	10/27/1962	1703	F	ACTIVE	00/00/0000		8.16	48	304
2	363-00-9268	BARBARA		YAWORSKI	193 SHERWOOD LANE		KAWKAWLIN	MI	48631	(989)555-4300	11/15/1999	2	12/22/1971	1704	P	ACTIVE	00/00/0000		15.11	80	304
2	377-00-0125	CHARLENE		SAWYER	280 E RILEY		FRANKENMUTH	MI	48734	(989)555-4580	3/27/1978	2	2/20/1953	1705	P	ACTIVE	00/00/0000		9.02	80	115
2	370-00-6624	DAWENDA	L	REWERS	1 WEST HIGH  ST		MUNGER	MI	48747	(989)555-2646	10/2/1997	2	7/12/1946	1706	F	ACTIVE	00/00/0000		540	0	307
2	379-00-7659	SHERRY	B	PINNOW	0123 MCENRUE RD		BAY CITY	MI	48706	(989)555-3400	6/24/2002	2	5/20/1970	1707	F	ACTIVE	00/00/0000		60.576	20	109
2	377-00-7193	SARAH		RICHTER	076 EXETER DRIVE		BAY CITY	MI	48706	(989)555-6504	11/3/1997	2	1/29/1960	1708	P	ACTIVE	00/00/0000		9.27	80	309
2	256-00-3335	BEVERLY		WELSH	402 LUCE ROAD		BAY CITY	MI	48706	(989)555-9276	2/25/2002	2	10/5/1944	1709	F	TERMINATED	9/16/1995	F	15.89	80	309
2	375-00-6607	JANICE	J	WELCHNER	422 ELMCREST		LINWOOD	MI	48634	(989)555-8418	11/18/1999	2	9/17/1963	1710	F	TERMINATED	2/17/1996	R	9.14	80	115
2	363-00-9381	KATRINA	A	DAVILA	2216 WINDCHILL WAY		BAY CITY	MI	48706	(989)555-0097	3/12/1979	2	9/30/1959	1711	F	ACTIVE	00/00/0000		10.29	80	309
2	381-00-9441	LINDA		ORR	199 CORBIN		ESSEXVILLE	MI	48732	(989)555-0326	10/11/1999	2	11/14/1978	1712	P	TERMINATED	7/10/2002	R	50	0	309
2	367-00-8196	PATRICIA	J	NAGY	426 KURTZ ROAD		BAY CITY	MI	48706	(989)555-5133	6/9/1997	2	12/31/1945	1713	P	ACTIVE	00/00/0000		29.5	0	115
2	369-00-3428	CINDY	S	ZIANE	427 KURTZ ROAD		ESSEXVILLE	MI	48732	(989)555-6788	4/11/1996	2	5/7/1971	1714	F	TERMINATED	12/21/1996	R	42.42	0	304
2	370-00-8734	WENDY	M	MAJDECKI	509 WILLIAMS		JOLIET	IL	60435	(989)555-2298	2/24/2003	2	5/6/1967	1715	P	ACTIVE	00/00/0000		21.86	0	304
2	284-00-4201	ROSE	S	BENNETT	604 BAYMONT		BAY CITY	MI	48708	(989)555-7733	10/13/1980	2	12/20/1956	1716	P	ACTIVE	00/00/0000		21.77	80	115
2	378-00-8606	GEORGE		EISENMAN	354 HERINGTON		BAY CITY	MI	48706	(989)555-1192	8/15/1983	1	11/17/1973	1717	F	ACTIVE	00/00/0000		20.32	0	307
2	383-00-4392	CYNTHIA		WILLIAMS	57 W BRISTOL RD		BAY CITY	MI	48708	(989)555-5679	9/12/1994	2	3/13/1951	1718	P	ACTIVE	00/00/0000		9.72	80	109
2	374-00-8402	DESIREE	W	FREDERICKS	22 SUNRISE DRIVE		BAY CITY	MI	48706	(989)555-2303	6/1/1996	2	7/17/1961	1719	P	ACTIVE	00/00/0000		34.8	80	309
